Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-01-01 00:00:00,NA,307.00,25.10,70.93,97.50,63.60,26.00,2.33,2.47,22.63,44.30,NA,NA,NA,NA,9.93,83.00,0.90,123.33,NA,0.00,3.67,736.00,-0.10
2017-01-01 00:15:00,NA,307.00,33.83,64.70,104.17,63.83,25.57,2.47,2.40,21.10,41.43,NA,NA,NA,NA,9.60,83.00,0.30,126.33,NA,0.00,3.33,736.67,-0.10
2017-01-01 00:30:00,NA,307.00,30.33,64.27,98.57,67.27,25.57,2.47,2.60,20.27,38.93,NA,NA,NA,NA,9.13,83.00,0.30,200.67,NA,0.00,4.00,736.33,-0.10
2017-01-01 00:45:00,NA,280.00,33.77,56.00,95.97,66.07,24.60,2.43,1.80,20.17,37.93,NA,NA,NA,NA,8.73,83.67,0.30,203.67,NA,0.00,4.00,736.33,-0.10
2017-01-01 01:00:00,NA,280.00,74.63,57.70,153.67,63.97,24.30,2.97,3.80,20.13,37.73,NA,NA,NA,NA,8.83,84.67,0.73,135.00,NA,0.00,4.00,736.00,-0.10
2017-01-01 01:15:00,NA,280.00,51.53,67.00,129.97,67.20,24.50,2.73,4.20,20.10,37.13,NA,NA,NA,NA,9.40,84.67,1.60,140.00,NA,0.00,3.67,736.00,NA
2017-01-01 01:30:00,NA,280.00,37.97,68.13,112.53,67.97,26.60,2.37,2.70,21.50,38.67,NA,NA,NA,NA,9.50,84.00,1.93,144.00,NA,0.00,3.33,736.00,NA
2017-01-01 01:45:00,NA,310.00,26.20,64.20,92.97,64.73,27.83,2.03,2.07,21.10,37.00,NA,NA,NA,NA,9.37,84.00,0.57,157.67,NA,0.00,3.33,736.00,-0.10
2017-01-01 02:00:00,NA,310.00,23.57,56.97,82.90,63.27,28.13,2.03,NA,19.80,33.07,NA,NA,NA,NA,8.97,84.33,0.77,100.00,NA,0.00,4.00,736.33,-0.10
2017-01-01 02:15:00,NA,310.00,40.57,58.83,107.83,58.53,26.70,2.20,NA,18.43,29.43,NA,NA,NA,NA,8.97,84.67,0.40,118.00,NA,0.00,3.33,736.00,-0.10
