Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,286.08,468.74,16.13,30.60,46.73,NA,NA,1.22,24.49,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-01 00:15:00,304.03,508.52,16.11,30.63,46.73,NA,NA,1.22,24.56,0.00,0.00,0.00,NA,NA,NA,6.30,55.33,NA,NA,NA,0.00,NA,NA,NA
2018-01-01 00:30:00,319.17,530.62,15.32,31.59,46.91,NA,NA,1.09,28.25,0.00,0.00,0.00,NA,NA,NA,4.50,41.50,NA,NA,NA,0.00,NA,NA,NA
2018-01-01 00:45:00,341.60,556.81,15.08,31.90,46.98,NA,NA,1.05,29.55,0.00,0.00,0.00,NA,NA,NA,5.93,55.67,NA,NA,NA,0.00,NA,NA,NA
2018-01-01 01:00:00,378.00,584.85,14.90,32.13,47.03,NA,NA,1.02,30.59,0.00,0.00,0.00,NA,NA,NA,4.75,42.50,NA,NA,NA,0.00,NA,NA,NA
2018-01-01 01:15:00,413.12,618.17,14.72,32.38,47.10,NA,NA,0.99,31.76,0.00,0.00,0.00,NA,NA,NA,6.60,56.67,NA,NA,NA,0.00,NA,NA,NA
2018-01-01 01:30:00,469.66,708.55,16.50,30.18,0.00,NA,NA,1.28,23.09,0.00,0.00,0.00,NA,NA,NA,5.10,42.50,NA,NA,NA,0.00,NA,NA,NA
2018-01-01 01:45:00,452.87,673.12,16.42,30.28,0.00,NA,NA,1.27,23.38,0.00,0.00,0.00,NA,NA,NA,6.80,56.67,NA,NA,NA,0.00,1.00,NA,NA
2018-01-01 02:00:00,444.18,649.58,16.51,30.18,0.00,NA,NA,1.28,23.06,0.00,0.00,0.00,NA,NA,NA,5.15,42.50,NA,NA,NA,0.00,1.00,NA,NA
2018-01-01 02:15:00,443.32,650.58,16.64,30.02,0.00,NA,NA,1.31,22.58,0.00,0.00,0.00,NA,NA,NA,6.87,56.67,NA,NA,NA,0.00,4.00,NA,NA
