Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,372.00,472.00,87.03,52.40,57.02,41.33,7.37,4.23,15.20,4.60,17.70,NA,NA,NA,NA,4.60,85.00,0.30,252.00,NA,0.00,5.00,737.00,-0.23
2018-01-01 00:15:00,372.00,472.00,85.33,52.23,56.18,43.30,7.13,6.37,27.45,4.60,17.73,NA,NA,NA,NA,4.50,85.00,0.30,249.00,NA,0.00,5.33,737.00,-0.13
2018-01-01 00:30:00,372.00,472.00,88.63,52.87,57.91,43.27,5.50,6.47,1.40,4.77,18.93,NA,NA,NA,NA,4.33,85.00,0.30,248.33,NA,0.00,5.00,737.00,-0.17
2018-01-01 00:45:00,372.00,472.00,94.20,57.70,61.98,40.67,5.30,6.53,NA,4.63,19.20,NA,NA,NA,NA,4.47,85.33,0.30,232.67,NA,0.00,5.00,737.00,-0.13
2018-01-01 01:00:00,369.00,458.00,111.97,53.90,69.18,38.03,4.00,6.93,NA,4.60,19.03,NA,NA,NA,NA,4.40,86.00,0.30,230.00,NA,0.00,5.00,737.00,-0.10
2018-01-01 01:15:00,369.00,458.00,150.20,50.47,86.12,39.37,5.23,8.03,NA,4.70,18.60,NA,NA,NA,NA,4.30,86.00,0.30,228.33,NA,0.00,5.00,737.00,-0.20
2018-01-01 01:30:00,369.00,458.00,184.47,49.37,101.88,36.93,5.70,8.90,NA,4.80,19.27,NA,NA,NA,NA,4.20,86.00,0.30,216.67,NA,0.00,5.00,737.00,-0.27
2018-01-01 01:45:00,369.00,458.00,201.43,45.27,108.64,38.23,7.07,9.23,NA,4.97,20.57,NA,NA,NA,NA,4.03,86.00,0.30,222.00,NA,0.00,5.00,737.00,-0.20
2018-01-01 02:00:00,430.00,544.00,203.13,44.57,109.18,39.87,8.30,9.50,NA,5.17,22.47,NA,NA,NA,NA,3.97,86.00,0.30,223.00,NA,0.00,5.00,737.00,-0.17
2018-01-01 02:15:00,430.00,544.00,207.37,43.80,110.91,40.20,8.50,9.80,9.75,5.37,23.80,NA,NA,NA,NA,3.83,86.67,0.30,223.00,NA,0.00,5.00,737.00,-0.20
2018-01-01 02:30:00,430.00,544.00,210.83,47.43,113.66,38.13,9.23,3.34,85.95,5.57,25.53,NA,NA,NA,NA,3.73,87.00,0.30,214.33,NA,0.00,5.00,737.00,-0.23
2018-01-01 02:45:00,430.00,544.00,223.53,46.50,119.34,37.80,9.80,0.01,36.95,5.77,27.67,NA,NA,NA,NA,3.70,87.00,0.30,221.33,NA,0.00,5.00,737.00,-0.20
