Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,505.06,NA,170.08,37.93,156.24,NA,50.32,2.41,3.04,25.67,47.47,NA,9.17,6.95,17.04,NA,82.10,0.45,163.81,NA,NA,6.80,NA,NA
2019-01-01 00:15:00,504.92,NA,157.16,34.21,143.93,NA,49.91,2.44,3.25,24.29,44.50,NA,8.27,6.07,15.28,NA,82.00,0.64,199.30,NA,NA,6.80,NA,NA
2019-01-01 00:30:00,504.92,NA,140.72,31.45,129.30,NA,50.05,2.14,2.39,22.68,41.84,NA,7.48,5.62,13.74,NA,83.10,0.58,192.38,NA,NA,6.80,NA,NA
2019-01-01 00:45:00,504.92,NA,114.99,27.87,106.82,NA,48.79,1.84,2.39,20.84,37.94,NA,6.86,5.10,12.81,NA,83.20,0.36,160.77,NA,NA,6.80,NA,NA
2019-01-01 01:00:00,466.08,NA,97.31,24.41,90.83,NA,48.13,1.58,2.80,18.81,32.55,NA,5.65,4.47,11.00,NA,83.80,0.52,169.34,NA,NA,6.80,NA,NA
2019-01-01 01:15:00,465.65,NA,86.30,23.16,81.36,NA,47.17,1.29,1.84,15.43,26.31,NA,4.80,3.30,9.05,NA,84.50,0.41,158.58,NA,NA,6.80,NA,NA
2019-01-01 01:30:00,465.65,NA,68.55,22.48,66.80,NA,45.98,1.14,1.39,13.33,21.44,NA,3.52,2.97,7.58,NA,85.00,0.43,159.30,NA,NA,6.80,NA,NA
2019-01-01 01:45:00,465.65,NA,67.46,19.55,64.37,NA,45.00,1.09,2.92,12.34,18.41,NA,NA,3.49,5.40,NA,85.60,0.42,160.67,NA,NA,6.80,NA,NA
2019-01-01 02:00:00,392.50,NA,65.39,17.31,61.52,NA,43.61,1.01,2.64,9.55,14.38,NA,NA,5.54,1.21,NA,86.80,0.43,142.82,NA,NA,6.80,NA,NA
2019-01-01 02:15:00,391.68,NA,57.66,16.32,54.81,NA,42.38,0.88,1.70,9.23,14.47,NA,NA,1.93,5.41,NA,86.90,0.43,164.29,NA,NA,6.80,NA,NA
2019-01-01 02:30:00,465.65,NA,68.55,22.48,66.80,NA,45.98,1.14,1.39,13.33,21.44,NA,3.52,2.97,7.58,NA,85.00,0.43,159.30,NA,NA,6.80,NA,NA
2019-01-01 02:45:00,391.68,NA,42.13,15.40,41.89,NA,39.74,0.65,1.52,7.15,10.43,NA,NA,2.14,3.49,NA,87.30,0.41,188.22,NA,NA,6.80,NA,NA
2019-01-01 03:00:00,296.99,NA,37.10,14.86,37.58,NA,38.70,0.62,0.58,6.61,8.09,NA,0.40,4.06,NA,NA,87.60,0.46,176.85,NA,NA,6.90,NA,NA
2019-01-01 03:15:00,295.93,NA,32.04,15.30,33.77,NA,37.10,0.55,1.46,6.52,7.59,NA,1.41,3.63,NA,NA,88.60,0.57,212.33,NA,NA,6.80,NA,NA
2019-01-01 03:30:00,391.68,NA,47.76,16.47,46.96,NA,40.86,0.72,1.98,8.63,12.81,NA,NA,1.95,5.12,NA,87.10,0.40,176.29,NA,NA,6.80,NA,NA
2019-01-01 03:45:00,295.93,NA,27.18,14.34,29.37,NA,34.48,0.50,1.13,4.66,5.49,NA,NA,2.45,NA,NA,87.70,0.41,170.53,NA,NA,6.80,NA,NA
2019-01-01 04:00:00,266.77,NA,23.21,14.49,26.28,NA,33.34,0.50,1.17,4.88,5.05,NA,NA,1.90,NA,NA,88.50,0.42,167.41,NA,NA,6.80,NA,NA
2019-01-01 04:15:00,266.45,NA,21.63,14.23,24.87,NA,32.57,0.49,0.90,4.94,4.75,NA,NA,0.44,NA,NA,89.10,0.43,169.44,NA,NA,6.80,NA,NA
2019-01-01 04:30:00,295.93,NA,31.51,15.40,33.40,NA,35.87,0.51,3.72,5.31,6.31,NA,NA,3.21,NA,NA,88.60,0.53,198.26,NA,NA,6.80,NA,NA
