Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,586.00,831.00,NA,102.30,NA,81.30,27.10,8.60,2.30,10.00,75.50,NA,NA,NA,NA,9.30,89.50,0.50,288.80,0.00,0.00,3.30,998.70,NA
2019-01-01 00:15:00,586.00,831.00,NA,104.10,NA,90.00,28.30,8.70,2.10,10.10,75.20,NA,NA,NA,NA,9.10,90.40,0.40,299.70,0.00,0.00,3.30,998.60,NA
2019-01-01 00:30:00,586.00,831.00,NA,87.90,497.30,88.00,28.40,8.30,1.40,10.00,75.80,NA,NA,NA,NA,8.80,91.20,0.40,319.50,0.00,0.00,3.30,998.50,NA
2019-01-01 00:45:00,676.00,911.00,NA,85.40,476.10,80.60,27.90,8.10,1.50,10.00,76.00,NA,NA,NA,NA,8.60,92.20,0.30,310.50,0.00,0.00,3.30,998.50,NA
2019-01-01 01:00:00,676.00,911.00,NA,90.70,460.70,80.50,28.40,8.00,NA,9.90,75.90,NA,NA,NA,NA,8.30,93.20,0.40,309.40,0.00,0.00,3.30,998.40,NA
2019-01-01 01:15:00,676.00,911.00,498.70,87.40,453.10,79.30,27.90,7.80,NA,9.90,76.10,NA,NA,NA,NA,8.30,94.00,0.70,302.90,0.00,0.00,3.30,998.40,NA
2019-01-01 01:30:00,676.00,911.00,NA,76.90,451.20,78.10,28.00,7.70,2.70,10.00,76.50,NA,NA,NA,NA,8.20,94.40,0.70,316.50,0.00,0.00,3.20,998.40,NA
2019-01-01 01:45:00,680.00,917.00,NA,73.40,448.60,77.50,28.60,7.60,1.50,9.90,76.30,NA,NA,NA,NA,8.00,94.70,0.60,320.20,0.00,0.00,3.30,998.40,NA
2019-01-01 02:00:00,680.00,917.00,NA,NA,NA,NA,NA,NA,1.20,10.00,76.30,NA,NA,NA,NA,8.00,95.10,0.80,317.00,0.00,0.00,3.30,998.40,NA
2019-01-01 02:15:00,680.00,917.00,NA,NA,NA,NA,NA,NA,1.20,10.00,76.50,NA,NA,NA,NA,8.10,95.40,0.60,315.40,0.00,0.00,3.30,998.30,NA
2019-01-01 02:30:00,680.00,917.00,NA,NA,NA,NA,NA,NA,1.00,10.00,76.00,NA,NA,NA,NA,7.80,95.30,0.60,326.60,0.00,0.00,3.20,998.20,NA
2019-01-01 02:45:00,580.00,791.00,364.30,67.80,332.90,75.50,20.30,5.70,1.30,9.90,75.30,NA,NA,NA,NA,7.90,95.50,0.70,308.80,0.00,0.00,3.30,998.10,NA
2019-01-01 03:00:00,580.00,791.00,345.50,68.50,318.00,75.30,19.70,5.30,1.40,9.70,74.50,NA,NA,NA,NA,7.80,95.50,0.70,324.60,0.00,0.00,3.20,998.00,NA
2019-01-01 03:15:00,580.00,791.00,331.60,66.70,306.10,77.80,20.40,4.60,0.80,9.60,74.10,NA,NA,NA,NA,7.90,95.50,0.90,317.90,0.00,0.00,3.20,998.00,NA
2019-01-01 03:30:00,580.00,791.00,306.80,69.70,287.10,84.60,21.60,4.20,0.50,9.80,74.30,NA,NA,NA,NA,8.00,95.10,0.80,312.80,0.00,0.00,3.20,998.00,NA
2019-01-01 03:45:00,462.00,649.00,278.20,78.50,268.80,84.50,22.40,3.70,1.00,9.90,73.70,NA,NA,NA,NA,7.90,94.10,0.60,312.60,0.00,0.00,3.20,997.90,NA
2019-01-01 04:00:00,462.00,649.00,272.80,77.70,263.70,80.20,22.70,3.60,0.60,9.60,70.70,NA,NA,NA,NA,7.90,93.30,0.60,311.90,0.00,0.00,3.20,997.60,NA
2019-01-01 04:15:00,462.00,649.00,266.40,74.20,256.60,81.40,21.70,3.50,0.50,9.60,69.40,NA,NA,NA,NA,7.70,93.20,0.80,309.30,0.00,0.00,3.20,997.40,NA
2019-01-01 04:30:00,462.00,649.00,248.50,67.50,238.50,84.30,20.40,3.30,1.40,9.70,69.40,NA,NA,NA,NA,7.70,93.30,0.90,322.00,0.00,0.00,3.20,997.20,NA
2019-01-01 04:45:00,378.00,525.00,219.80,70.80,216.80,NA,NA,NA,0.80,9.50,68.70,NA,NA,NA,NA,7.70,92.90,1.00,321.20,0.00,0.00,3.20,997.00,NA
2019-01-01 05:00:00,378.00,525.00,193.80,69.50,194.90,82.00,17.80,2.30,0.90,9.40,67.80,NA,NA,NA,NA,7.70,92.60,1.00,317.40,0.00,0.00,3.20,996.90,NA
2019-01-01 05:15:00,378.00,525.00,186.50,69.00,188.60,80.40,15.40,2.30,1.00,9.20,66.60,NA,NA,NA,NA,7.70,92.30,1.00,322.10,0.00,0.00,3.20,996.80,NA
2019-01-01 05:30:00,378.00,525.00,196.10,56.30,189.90,80.50,13.90,2.30,1.00,9.00,65.50,NA,NA,NA,NA,7.60,92.40,0.90,319.20,0.00,0.00,3.20,996.60,NA
2019-01-01 05:45:00,327.00,451.00,193.90,62.70,191.50,80.30,13.40,2.20,0.40,8.90,64.70,NA,NA,NA,NA,7.70,92.30,1.00,309.10,0.00,0.00,3.20,996.70,NA
