Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,128.00,477.00,19.80,59.60,47.90,71.40,13.40,1.90,3.00,NA,NA,NA,NA,NA,NA,8.80,91.20,0.60,4.20,0.00,0.00,2.80,996.00,NA
2019-01-01 00:15:00,128.00,477.00,57.30,47.10,71.70,65.50,13.00,2.20,2.70,NA,NA,NA,NA,NA,NA,8.30,91.60,0.50,23.70,0.00,0.00,3.10,996.00,NA
2019-01-01 00:30:00,128.00,477.00,35.50,48.10,54.90,73.50,12.10,2.00,2.60,NA,NA,NA,NA,NA,NA,7.80,93.10,0.60,355.10,0.00,0.00,2.70,995.80,NA
2019-01-01 00:45:00,128.00,477.00,42.30,38.90,55.30,73.40,11.50,2.00,3.10,NA,NA,NA,NA,NA,NA,7.80,94.60,0.60,4.40,0.00,0.00,3.10,995.80,NA
2019-01-01 01:00:00,138.00,477.00,18.60,49.30,41.90,74.00,11.60,1.80,NA,NA,NA,NA,NA,NA,NA,7.80,95.30,0.90,353.50,0.00,0.00,2.70,995.70,NA
2019-01-01 01:15:00,138.00,477.00,27.20,46.70,47.20,72.30,11.30,1.80,NA,NA,NA,NA,NA,NA,NA,7.90,94.80,0.70,6.40,0.00,0.00,3.00,995.80,NA
2019-01-01 01:30:00,138.00,477.00,33.30,45.30,51.30,69.00,11.30,1.90,6.00,NA,NA,NA,NA,NA,NA,7.60,93.80,0.70,347.20,0.00,0.00,2.80,995.70,NA
2019-01-01 01:45:00,138.00,477.00,28.10,44.40,46.30,69.00,NA,1.90,3.20,NA,NA,NA,NA,NA,NA,7.40,94.60,1.00,341.30,0.00,0.00,2.80,995.80,NA
2019-01-01 02:00:00,123.00,410.00,NA,NA,NA,NA,NA,NA,3.10,NA,NA,NA,NA,NA,NA,7.70,94.40,0.90,346.30,0.00,0.00,2.80,995.80,NA
2019-01-01 02:15:00,123.00,410.00,NA,NA,NA,NA,NA,NA,2.70,NA,NA,NA,NA,NA,NA,7.60,93.00,0.50,0.30,0.00,0.00,2.80,995.70,NA
