Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,606.00,807.00,120.10,32.80,115.40,72.90,20.10,3.90,8.20,1.70,12.20,NA,NA,NA,NA,7.50,96.00,0.80,36.00,0.00,0.00,3.20,995.50,NA
2020-01-01 00:15:00,606.00,807.00,112.10,29.60,107.20,71.60,18.50,4.00,7.90,1.50,11.00,NA,NA,NA,NA,7.40,96.60,0.60,27.90,0.00,0.00,3.10,995.40,NA
2020-01-01 00:30:00,606.00,807.00,105.40,31.30,102.60,74.30,17.70,NA,7.50,1.30,9.30,NA,NA,NA,NA,7.40,97.10,1.00,35.30,0.00,0.00,3.20,995.40,NA
2020-01-01 00:45:00,420.00,577.00,95.00,27.90,92.30,69.80,15.40,3.20,NA,1.30,9.30,NA,NA,NA,NA,7.40,96.60,0.90,41.30,0.00,0.00,3.30,995.30,NA
2020-01-01 01:00:00,420.00,577.00,95.60,31.40,94.60,69.70,15.50,3.10,NA,1.30,8.70,NA,NA,NA,NA,7.40,96.20,0.90,47.30,0.00,0.00,3.20,995.30,NA
2020-01-01 01:15:00,420.00,577.00,94.60,28.50,92.30,69.50,16.00,3.00,NA,1.10,7.80,NA,NA,NA,NA,7.30,96.20,1.00,44.50,0.00,0.00,3.10,995.30,NA
2020-01-01 01:30:00,420.00,577.00,85.40,33.50,87.40,68.20,NA,2.70,8.20,1.10,7.90,NA,NA,NA,NA,7.30,94.80,0.80,21.30,0.00,0.00,3.00,995.30,NA
2020-01-01 01:45:00,385.00,500.00,79.50,29.90,80.70,71.00,13.20,2.60,7.50,1.10,7.30,NA,NA,NA,NA,7.10,94.60,1.00,25.90,0.00,0.00,3.10,995.20,NA
2020-01-01 02:00:00,385.00,500.00,77.00,30.20,78.90,70.50,10.90,NA,7.20,1.00,7.20,NA,NA,NA,NA,7.10,93.90,1.00,13.50,0.00,0.00,3.00,995.20,NA
2020-01-01 02:15:00,385.00,500.00,71.80,32.60,75.80,73.60,9.80,2.40,7.10,1.00,7.50,NA,NA,NA,NA,7.10,91.90,0.80,5.50,0.00,0.00,2.90,995.20,NA
2020-01-01 02:30:00,385.00,500.00,69.20,31.20,73.00,71.10,8.80,2.40,6.80,1.00,7.80,NA,NA,NA,NA,6.50,93.30,0.70,8.10,0.00,0.00,2.90,995.20,NA
2020-01-01 02:45:00,NA,445.00,67.70,29.40,70.80,69.20,8.60,2.40,6.50,1.00,7.50,NA,NA,NA,NA,6.20,95.20,0.70,20.30,0.00,0.00,3.10,995.20,NA
2020-01-01 03:00:00,348.00,445.00,66.50,27.90,69.10,70.80,8.60,2.30,7.90,1.00,7.30,NA,NA,NA,NA,6.10,96.40,0.70,46.80,0.00,0.00,3.20,995.20,NA
2020-01-01 03:15:00,348.00,445.00,67.60,27.90,69.90,70.30,8.40,2.30,6.80,1.00,7.20,NA,NA,NA,NA,5.90,96.80,0.60,25.40,0.00,0.00,3.10,995.20,NA
2020-01-01 03:30:00,348.00,445.00,72.00,28.00,73.60,56.70,8.90,2.40,7.40,1.00,7.00,NA,NA,NA,NA,5.90,97.70,0.50,25.20,0.00,0.00,3.30,995.20,NA
2020-01-01 03:45:00,385.00,488.00,72.90,28.40,74.50,65.70,9.40,2.30,7.30,1.00,6.90,NA,NA,NA,NA,5.80,98.40,0.60,27.60,0.00,0.00,3.20,995.20,NA
2020-01-01 04:00:00,385.00,488.00,77.10,32.00,79.90,54.70,9.40,2.40,7.20,1.00,6.70,NA,NA,NA,NA,5.70,98.80,0.50,101.90,0.00,0.00,3.10,995.20,NA
2020-01-01 04:15:00,385.00,488.00,92.00,39.10,95.80,75.10,10.30,2.40,7.50,0.90,6.60,NA,NA,NA,NA,6.40,98.40,0.90,147.80,0.00,0.00,2.90,995.20,NA
2020-01-01 04:30:00,385.00,488.00,73.90,33.00,77.80,70.30,10.60,2.40,7.00,1.00,6.80,NA,NA,NA,NA,6.20,96.50,0.60,141.20,0.00,0.00,2.90,995.30,NA
2020-01-01 04:45:00,367.00,504.00,68.00,28.50,70.60,68.30,10.10,2.40,7.50,1.10,7.00,NA,NA,NA,NA,5.80,97.10,0.70,81.80,0.00,0.00,3.10,995.30,NA
2020-01-01 05:00:00,367.00,504.00,65.10,25.80,66.80,65.30,10.10,2.60,7.70,1.00,6.90,NA,NA,NA,NA,5.80,98.10,0.80,73.60,0.00,0.00,3.10,995.40,NA
2020-01-01 05:15:00,367.00,504.00,79.50,28.60,80.00,63.70,11.30,2.60,11.70,1.10,6.90,NA,NA,NA,NA,5.70,98.60,0.50,64.10,0.00,0.00,3.20,995.50,NA
2020-01-01 05:30:00,367.00,504.00,94.60,36.30,96.40,65.00,13.40,2.70,20.80,1.10,7.70,NA,NA,NA,NA,5.70,99.00,0.30,15.70,0.00,0.00,2.90,995.60,NA
2020-01-01 05:45:00,416.00,544.00,109.70,42.20,111.90,65.30,15.00,2.80,35.60,1.20,8.20,NA,NA,NA,NA,5.70,99.20,0.40,53.00,0.00,0.00,3.10,995.80,NA
2020-01-01 06:00:00,416.00,544.00,127.70,40.00,125.40,68.30,16.70,3.00,40.10,1.30,8.20,NA,NA,NA,NA,5.70,99.10,0.50,96.90,0.00,0.00,3.10,995.90,NA
2020-01-01 06:15:00,416.00,544.00,123.70,35.10,119.50,70.50,18.20,3.00,44.00,1.20,8.30,NA,NA,NA,NA,5.80,99.10,0.50,94.60,0.00,0.00,3.10,996.10,NA
2020-01-01 06:30:00,416.00,544.00,108.00,38.40,108.50,62.30,19.60,NA,47.90,1.30,8.50,NA,NA,NA,NA,5.90,99.10,0.70,104.70,0.00,0.00,3.10,996.30,NA
2020-01-01 06:45:00,489.00,653.00,111.90,41.20,113.10,70.60,20.10,3.30,39.50,1.30,9.30,NA,NA,NA,NA,5.80,99.20,0.40,59.80,0.00,0.00,3.80,996.60,NA
2020-01-01 07:00:00,489.00,653.00,137.60,42.60,134.80,67.80,NA,3.70,36.00,1.40,10.00,NA,NA,NA,NA,5.90,99.10,0.30,348.20,0.00,0.00,7.00,996.60,NA
2020-01-01 07:15:00,489.00,653.00,144.10,40.90,139.20,69.90,21.80,4.10,30.40,1.30,9.90,NA,NA,NA,NA,6.20,99.10,0.70,41.10,0.00,0.00,15.90,997.00,NA
2020-01-01 07:30:00,489.00,653.00,145.20,40.50,140.00,68.80,NA,4.10,21.30,1.90,9.50,NA,NA,NA,NA,6.70,98.00,0.60,46.10,0.00,0.00,28.40,997.20,NA
2020-01-01 07:45:00,631.00,NA,141.90,43.60,138.90,68.20,22.40,3.80,15.60,1.60,8.20,NA,NA,NA,NA,7.50,93.60,0.70,81.70,0.00,0.00,37.10,997.50,NA
2020-01-01 08:00:00,631.00,NA,150.20,68.70,159.00,60.00,23.50,3.80,12.30,1.50,7.60,NA,NA,NA,NA,8.40,86.40,1.10,105.70,0.00,0.00,55.30,997.80,NA
2020-01-01 08:15:00,631.00,NA,113.20,61.90,125.20,65.40,22.30,3.70,11.70,1.50,7.60,NA,NA,NA,NA,9.10,80.60,1.40,104.60,0.00,0.00,65.20,998.00,NA
2020-01-01 08:30:00,631.00,NA,103.60,65.00,119.00,61.20,21.20,3.40,10.60,1.60,7.90,NA,NA,NA,NA,10.10,74.40,1.60,97.60,0.00,0.00,11.80,998.30,NA
2020-01-01 08:45:00,619.00,820.00,109.70,81.10,132.60,61.80,21.40,3.40,9.40,1.50,7.40,NA,NA,NA,NA,11.00,69.00,1.60,94.90,0.00,0.00,63.20,998.50,NA
2020-01-01 09:00:00,619.00,820.00,96.90,71.80,117.20,67.50,22.00,3.50,8.70,1.30,6.70,NA,NA,NA,NA,11.70,64.00,1.70,98.20,0.00,0.00,146.60,998.80,NA
2020-01-01 09:15:00,619.00,820.00,87.60,53.70,100.00,76.20,22.70,3.50,8.00,1.20,6.40,NA,NA,NA,NA,12.60,60.80,1.60,86.50,0.00,0.00,166.60,999.00,NA
2020-01-01 09:30:00,619.00,820.00,77.50,52.00,90.90,75.50,22.30,3.20,7.40,1.30,6.60,NA,NA,NA,NA,13.30,54.50,1.70,90.90,0.00,0.00,186.20,999.10,NA
2020-01-01 09:45:00,NA,773.00,77.00,56.40,92.80,78.60,21.50,3.00,7.70,1.30,6.50,NA,NA,NA,NA,14.10,51.90,1.70,88.70,0.00,0.00,139.40,999.30,NA
2020-01-01 10:00:00,555.00,773.00,68.30,49.90,82.20,81.00,19.80,2.80,7.10,1.10,6.10,NA,NA,NA,NA,15.00,48.90,1.60,97.40,0.00,0.00,138.90,999.40,NA
2020-01-01 10:15:00,555.00,773.00,71.30,56.40,88.10,72.60,18.80,2.40,6.60,1.10,6.00,NA,NA,NA,NA,16.10,43.90,1.90,92.70,0.00,0.00,5.50,999.40,NA
2020-01-01 10:30:00,555.00,773.00,60.20,38.90,69.80,72.60,18.30,2.10,7.60,0.90,5.30,NA,NA,NA,NA,16.40,41.80,2.10,100.60,0.00,0.00,7.30,999.30,NA
2020-01-01 10:45:00,NA,506.00,53.70,33.50,61.60,72.90,17.80,2.10,12.40,0.80,5.60,NA,NA,NA,NA,16.60,42.00,2.10,105.20,0.00,0.00,7.70,999.20,NA
2020-01-01 11:00:00,342.00,506.00,52.30,38.10,62.90,77.90,18.90,2.30,29.70,0.80,6.00,NA,NA,NA,NA,17.20,42.10,2.00,96.00,0.00,0.00,5.50,999.10,NA
2020-01-01 11:15:00,342.00,506.00,48.70,38.40,60.10,75.00,20.80,2.40,49.70,0.80,7.70,NA,NA,NA,NA,17.60,41.80,1.90,101.90,0.00,0.00,4.80,998.90,NA
2020-01-01 11:30:00,342.00,506.00,46.30,36.80,57.30,75.90,19.80,2.20,23.90,0.90,8.20,NA,NA,NA,NA,17.70,41.70,1.90,116.60,0.00,0.00,4.30,998.70,NA
2020-01-01 11:45:00,NA,442.00,44.10,38.50,56.40,75.10,18.90,2.20,16.60,0.90,8.70,NA,NA,NA,NA,18.00,41.50,1.80,98.60,0.00,0.00,3.50,998.40,NA
2020-01-01 12:00:00,265.00,442.00,41.10,36.30,52.80,76.50,19.50,2.00,17.70,0.80,8.30,NA,NA,NA,NA,18.20,40.60,2.20,111.50,0.00,0.00,3.70,998.20,NA
2020-01-01 12:15:00,265.00,442.00,37.40,33.10,48.10,72.60,20.00,1.80,18.00,0.80,8.30,NA,NA,NA,NA,18.70,40.10,2.20,115.70,0.00,0.00,3.60,997.90,NA
2020-01-01 12:30:00,265.00,442.00,35.90,32.50,46.50,74.50,18.30,NA,21.80,0.70,9.80,NA,NA,NA,NA,19.10,40.70,2.10,109.10,0.00,0.00,95.00,997.60,NA
2020-01-01 12:45:00,194.00,355.00,34.00,31.40,44.40,72.20,17.30,1.80,23.70,0.70,8.40,NA,NA,NA,NA,19.20,41.20,2.00,106.40,0.00,0.00,65.50,997.40,NA
2020-01-01 13:00:00,194.00,355.00,31.90,30.60,42.30,71.30,16.70,1.80,27.60,0.60,8.20,NA,NA,NA,NA,19.50,41.00,1.90,102.00,0.00,0.00,71.50,997.20,NA
2020-01-01 13:15:00,194.00,355.00,30.40,30.90,41.20,70.10,16.70,1.80,28.30,0.60,7.30,NA,NA,NA,NA,19.40,41.60,1.70,106.80,0.00,0.00,64.60,996.90,NA
2020-01-01 13:30:00,194.00,355.00,29.30,30.70,40.20,70.50,NA,1.90,31.20,0.70,7.60,NA,NA,NA,NA,19.50,41.90,2.30,104.10,0.00,0.00,59.70,996.70,NA
