Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,840.00,884.00,197.30,35.50,179.80,103.20,18.20,6.60,NA,12.50,194.40,NA,NA,NA,NA,7.60,84.20,0.70,119.60,0.00,0.00,5.50,994.70,NA
2020-01-01 00:15:00,840.00,884.00,195.50,35.50,178.30,103.50,18.50,6.00,NA,12.40,196.70,NA,NA,NA,NA,7.50,84.60,0.20,155.70,0.00,0.00,5.50,994.60,NA
2020-01-01 00:30:00,777.00,NA,193.90,34.40,176.40,97.60,18.90,6.00,NA,11.50,191.20,NA,NA,NA,NA,7.40,85.20,0.30,85.50,0.00,0.00,5.50,994.50,NA
2020-01-01 00:45:00,777.00,884.00,192.80,34.00,175.30,94.50,19.00,5.90,NA,11.10,180.60,NA,NA,NA,NA,7.30,85.60,0.70,87.70,0.00,0.00,5.50,994.40,NA
2020-01-01 01:00:00,777.00,815.00,191.70,32.00,173.30,92.50,18.70,5.60,NA,11.50,181.30,NA,NA,NA,NA,7.20,85.60,0.30,87.30,0.00,0.00,5.50,994.40,NA
2020-01-01 01:15:00,777.00,815.00,188.20,32.30,170.60,89.70,18.10,5.30,NA,11.10,181.50,NA,NA,NA,NA,7.20,85.90,0.20,105.70,0.00,0.00,5.50,994.50,NA
2020-01-01 01:30:00,621.00,790.00,186.50,32.80,169.50,88.10,18.10,4.90,NA,11.30,179.00,NA,NA,NA,NA,7.20,85.60,0.40,130.80,0.00,0.00,5.50,994.50,NA
2020-01-01 01:45:00,621.00,790.00,123.80,34.80,119.40,49.70,1.30,NA,NA,11.50,179.80,NA,NA,NA,NA,7.10,85.70,0.60,128.70,0.00,0.00,5.50,994.50,NA
2020-01-01 02:00:00,621.00,790.00,NA,NA,NA,NA,NA,NA,NA,10.60,180.70,NA,NA,NA,NA,7.10,85.90,0.10,241.90,0.00,0.00,5.50,994.50,NA
2020-01-01 02:15:00,621.00,790.00,168.10,29.70,151.50,75.00,14.90,3.90,NA,10.50,178.70,NA,NA,NA,NA,7.00,86.20,0.30,54.40,0.00,0.00,5.50,994.40,NA
2020-01-01 02:30:00,514.00,649.00,169.80,32.30,155.60,79.90,16.80,4.30,NA,10.50,182.70,NA,NA,NA,NA,7.10,86.60,0.30,47.20,0.00,0.00,5.50,994.50,NA
2020-01-01 02:45:00,514.00,649.00,166.70,30.40,152.00,81.30,16.30,4.10,NA,10.60,189.30,NA,NA,NA,NA,7.10,86.50,0.80,117.90,0.00,0.00,5.50,994.40,NA
2020-01-01 03:00:00,514.00,649.00,166.30,30.70,151.90,82.50,16.50,4.40,NA,10.50,186.20,NA,NA,NA,NA,7.00,85.90,0.70,113.20,0.00,0.00,5.50,994.40,NA
2020-01-01 03:15:00,514.00,649.00,169.00,30.40,154.00,81.40,16.40,4.50,NA,10.30,191.10,NA,NA,NA,NA,6.90,86.20,0.60,118.70,0.00,0.00,5.50,994.40,NA
2020-01-01 03:30:00,500.00,614.00,166.30,30.00,151.60,80.00,16.20,4.40,NA,10.70,196.90,NA,NA,NA,NA,7.00,87.00,0.70,124.70,0.00,0.00,5.50,994.40,NA
