Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,368.00,471.00,26.40,108.00,79.00,32.60,8.40,3.00,3.30,6.80,41.80,NA,NA,NA,NA,9.90,83.00,0.30,261.80,0.00,0.00,5.20,988.70,NA
2021-01-01 00:15:00,368.00,471.00,30.80,102.90,79.80,34.00,7.80,3.30,4.00,6.90,40.90,NA,NA,NA,NA,9.80,83.50,0.30,295.20,0.00,0.00,5.20,988.80,NA
2021-01-01 00:30:00,368.00,471.00,57.70,97.80,99.10,35.10,8.50,3.80,4.60,6.70,40.30,NA,NA,NA,NA,9.70,84.60,0.40,299.10,0.00,0.00,5.20,988.80,NA
2021-01-01 00:45:00,379.00,506.00,77.90,97.00,115.10,35.20,9.60,4.00,4.50,7.30,41.50,NA,NA,NA,NA,9.60,85.30,0.40,306.40,0.00,0.00,5.10,988.90,NA
2021-01-01 01:00:00,379.00,506.00,80.40,100.00,118.80,32.20,11.00,4.00,NA,7.40,44.00,NA,NA,NA,NA,9.40,85.80,0.60,275.00,0.00,0.00,5.20,988.90,NA
2021-01-01 01:15:00,379.00,506.00,42.20,98.30,86.70,38.80,11.40,3.40,NA,7.20,46.90,NA,NA,NA,NA,9.40,86.00,0.80,257.60,0.00,0.00,5.20,989.10,NA
2021-01-01 01:30:00,379.00,506.00,34.60,93.40,77.90,32.50,11.30,3.20,NA,7.90,49.60,NA,NA,NA,NA,9.40,86.50,0.50,225.80,0.00,0.00,5.20,989.10,NA
2021-01-01 01:45:00,401.00,530.00,35.00,88.80,75.80,32.00,10.50,3.10,NA,7.30,44.70,NA,NA,NA,NA,9.50,86.40,0.70,147.70,0.00,0.00,5.20,988.90,NA
2021-01-01 02:00:00,401.00,530.00,NA,NA,NA,NA,NA,NA,4.70,7.00,43.10,NA,NA,NA,NA,9.30,85.60,0.50,138.60,0.00,0.00,5.20,988.90,NA
2021-01-01 02:15:00,401.00,530.00,NA,NA,NA,NA,NA,NA,3.60,6.80,42.60,NA,NA,NA,NA,9.10,85.60,0.50,130.80,0.00,0.00,5.10,988.90,NA
2021-01-01 02:30:00,401.00,530.00,NA,NA,NA,NA,NA,NA,3.30,6.90,42.60,NA,NA,NA,NA,9.00,86.60,0.60,137.40,0.00,0.00,5.10,988.90,NA
2021-01-01 02:45:00,366.00,465.00,NA,NA,NA,NA,NA,NA,4.50,7.10,42.30,NA,NA,NA,NA,9.10,86.90,0.50,167.30,0.00,0.00,5.20,989.00,NA
2021-01-01 03:00:00,366.00,465.00,12.40,87.60,56.70,27.90,9.00,2.10,6.40,6.70,40.50,NA,NA,NA,NA,9.10,87.60,0.50,128.80,0.00,0.00,5.20,988.90,NA
2021-01-01 03:15:00,366.00,465.00,12.80,87.70,57.10,26.50,8.70,2.10,5.00,6.70,39.10,NA,NA,NA,NA,9.20,87.80,0.40,141.60,0.00,0.00,5.20,988.80,NA
2021-01-01 03:30:00,366.00,465.00,23.00,86.60,64.80,25.50,8.10,2.60,3.60,6.30,36.50,NA,NA,NA,NA,9.20,87.80,0.30,91.50,0.00,0.00,5.20,988.90,NA
2021-01-01 03:45:00,323.00,423.00,28.20,90.60,71.20,23.90,7.90,2.70,3.90,6.50,37.20,NA,NA,NA,NA,9.20,87.30,0.40,125.00,0.00,0.00,5.10,988.80,NA
2021-01-01 04:00:00,323.00,423.00,23.60,96.10,70.40,22.40,7.90,2.60,3.60,7.00,38.60,NA,NA,NA,NA,9.00,87.60,0.60,142.20,0.00,0.00,5.20,988.80,NA
2021-01-01 04:15:00,323.00,423.00,16.40,92.60,62.60,21.80,7.20,2.20,4.50,7.20,39.50,NA,NA,NA,NA,8.90,89.20,0.80,134.60,0.00,0.00,5.20,988.80,NA
2021-01-01 04:30:00,323.00,423.00,9.90,78.50,49.80,26.40,7.50,1.90,8.20,7.00,38.30,NA,NA,NA,NA,9.10,89.20,0.50,106.40,0.00,0.00,5.20,988.90,NA
