Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,179.00,210.00,90.70,25.40,87.50,30.40,9.70,2.20,1.90,6.80,9.70,NA,NA,NA,NA,4.30,86.20,0.60,317.50,0.00,0.00,3.00,993.80,NA
2021-01-01 00:15:00,179.00,210.00,90.20,24.10,86.40,30.70,9.60,2.20,1.60,6.80,9.90,NA,NA,NA,NA,3.40,86.20,0.80,357.40,0.00,0.00,2.90,993.90,NA
2021-01-01 00:30:00,179.00,210.00,91.90,23.00,87.20,30.00,9.20,2.20,1.80,6.90,10.40,NA,NA,NA,NA,3.10,86.20,1.00,2.00,0.00,0.00,2.90,994.00,NA
2021-01-01 00:45:00,168.00,183.00,92.10,22.30,87.00,29.40,9.30,2.30,NA,6.80,10.30,NA,NA,NA,NA,2.70,86.20,0.60,3.30,0.00,0.00,2.90,994.00,NA
2021-01-01 01:00:00,168.00,183.00,89.30,22.60,84.80,29.20,9.00,2.30,NA,7.10,10.90,NA,NA,NA,NA,2.30,86.20,0.40,206.50,0.00,0.00,3.30,994.10,NA
2021-01-01 01:15:00,168.00,183.00,88.30,21.30,83.40,29.20,9.20,2.30,NA,7.20,11.30,NA,NA,NA,NA,1.90,86.20,0.40,244.30,0.00,0.00,3.30,993.90,NA
2021-01-01 01:30:00,168.00,183.00,87.10,22.60,83.00,28.30,NA,2.30,2.40,7.50,11.60,NA,NA,NA,NA,2.00,86.20,0.50,271.50,0.00,0.00,3.10,993.90,NA
2021-01-01 01:45:00,158.00,163.00,NA,NA,NA,NA,NA,NA,2.10,7.80,11.80,NA,NA,NA,NA,2.00,86.20,0.30,276.50,0.00,0.00,3.30,993.90,NA
2021-01-01 02:00:00,158.00,163.00,NA,NA,NA,NA,NA,NA,1.70,8.00,13.20,NA,NA,NA,NA,2.10,86.20,0.40,273.80,0.00,0.00,3.10,994.00,NA
2021-01-01 02:15:00,158.00,163.00,NA,NA,NA,NA,NA,NA,1.80,7.90,14.80,NA,NA,NA,NA,2.10,86.20,0.60,304.20,0.00,0.00,3.10,994.00,NA
2021-01-01 02:30:00,158.00,163.00,83.10,29.40,83.40,22.70,5.40,2.30,1.40,7.90,16.30,NA,NA,NA,NA,1.80,86.20,0.50,330.40,0.00,0.00,3.00,993.90,NA
2021-01-01 02:45:00,134.00,135.00,85.60,29.20,85.30,23.90,5.40,2.30,1.10,7.90,17.10,NA,NA,NA,NA,1.60,86.20,0.50,329.80,0.00,0.00,3.00,993.80,NA
2021-01-01 03:00:00,134.00,135.00,84.00,27.20,83.00,25.10,5.20,2.30,1.60,7.90,17.80,NA,NA,NA,NA,1.70,86.20,0.50,331.80,0.00,0.00,3.00,993.70,NA
2021-01-01 03:15:00,134.00,135.00,81.60,29.20,82.10,25.10,5.40,2.30,1.40,7.80,18.00,NA,NA,NA,NA,1.80,86.20,0.40,351.30,0.00,0.00,3.20,993.80,NA
2021-01-01 03:30:00,134.00,135.00,77.00,31.30,79.40,25.30,4.80,2.20,1.40,7.70,29.60,NA,NA,NA,NA,2.00,86.20,0.20,322.30,0.00,0.00,3.10,993.80,NA
2021-01-01 03:45:00,133.00,138.00,72.70,31.70,76.10,25.70,4.80,2.20,1.80,7.70,41.90,NA,NA,NA,NA,2.10,86.20,0.50,316.80,0.00,0.00,3.00,993.80,NA
2021-01-01 04:00:00,133.00,138.00,70.00,32.20,74.10,27.10,5.00,2.20,1.50,7.80,48.90,NA,NA,NA,NA,1.80,86.20,0.60,314.90,0.00,0.00,3.00,993.80,NA
2021-01-01 04:15:00,NA,138.00,68.90,31.80,73.10,27.30,4.60,2.20,1.50,7.80,56.90,NA,NA,NA,NA,1.70,86.20,0.50,349.00,0.00,0.00,3.00,993.80,NA
