Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,359.00,472.00,203.40,41.70,188.00,78.80,14.50,5.00,5.00,11.30,28.90,NA,NA,NA,NA,7.60,92.60,0.30,300.20,0.00,0.00,8.50,991.30,NA
2021-01-01 00:15:00,359.00,472.00,204.40,43.50,189.80,81.30,15.50,4.50,4.90,11.10,27.50,NA,NA,NA,NA,7.60,92.90,0.30,298.00,0.00,0.00,7.80,991.50,NA
2021-01-01 00:30:00,359.00,472.00,204.30,39.20,187.40,84.60,17.10,4.40,5.20,11.20,28.90,NA,NA,NA,NA,7.30,93.00,0.10,291.90,0.00,0.00,8.60,991.70,NA
2021-01-01 00:45:00,486.00,586.00,202.80,44.10,188.80,83.00,14.80,4.50,5.60,11.10,27.40,NA,NA,NA,NA,7.10,93.50,0.10,247.00,0.00,0.00,9.30,991.80,NA
2021-01-01 01:00:00,486.00,586.00,198.70,43.40,185.10,82.20,14.50,5.00,NA,11.20,27.70,NA,NA,NA,NA,7.00,93.90,0.20,274.90,0.00,0.00,9.20,991.70,NA
2021-01-01 01:15:00,486.00,586.00,204.60,42.30,189.30,84.10,14.20,5.00,NA,11.50,28.20,NA,NA,NA,NA,6.70,94.40,0.10,320.30,0.00,0.00,9.30,991.90,NA
2021-01-01 01:30:00,486.00,586.00,209.00,43.50,193.50,83.10,14.80,5.30,NA,11.90,30.00,NA,NA,NA,NA,6.40,94.70,NA,87.70,0.00,0.00,11.40,992.00,NA
2021-01-01 01:45:00,395.00,511.00,206.80,42.30,191.10,78.30,NA,5.20,5.80,11.90,29.80,NA,NA,NA,NA,6.30,95.00,NA,11.90,0.00,0.00,14.50,991.80,NA
2021-01-01 02:00:00,395.00,511.00,NA,NA,NA,NA,NA,NA,5.60,12.30,30.30,NA,NA,NA,NA,6.40,95.30,0.30,298.00,0.00,0.00,12.90,991.40,NA
2021-01-01 02:15:00,395.00,511.00,NA,NA,NA,NA,NA,NA,5.40,12.10,29.60,NA,NA,NA,NA,6.10,95.60,0.10,138.70,0.00,0.00,15.70,991.90,NA
2021-01-01 02:30:00,395.00,511.00,NA,NA,NA,NA,NA,NA,5.00,13.20,30.70,NA,NA,NA,NA,5.90,95.80,NA,7.00,0.00,0.00,16.70,991.80,NA
