Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,414.00,517.00,304.50,38.80,343.40,67.90,5.80,4.30,3.10,1.00,4.10,NA,NA,NA,NA,12.70,92.10,0.20,205.00,0.00,0.00,3.20,994.80,NA
2021-01-01 00:15:00,414.00,517.00,285.10,38.90,323.60,76.50,5.80,4.30,3.20,1.00,4.00,NA,NA,NA,NA,12.70,92.20,0.40,249.30,0.00,0.00,3.00,994.80,NA
2021-01-01 00:30:00,414.00,517.00,218.20,39.60,257.90,69.30,5.80,4.00,3.50,1.00,4.20,NA,NA,NA,NA,12.70,93.10,0.50,232.10,0.00,0.00,2.90,994.80,NA
2021-01-01 00:45:00,483.00,564.00,177.00,39.60,216.70,76.40,5.00,3.90,3.40,1.00,4.40,NA,NA,NA,NA,12.60,92.90,0.40,247.30,0.00,0.00,3.00,994.80,NA
2021-01-01 01:00:00,483.00,564.00,160.20,37.60,197.80,74.40,4.30,3.70,NA,1.00,4.50,NA,NA,NA,NA,12.60,93.60,0.30,264.40,0.00,0.00,3.00,995.00,NA
2021-01-01 01:15:00,483.00,564.00,142.40,37.20,179.60,79.30,4.10,3.60,NA,1.10,4.70,NA,NA,NA,NA,12.50,93.60,0.20,66.30,0.00,0.00,3.30,995.20,NA
2021-01-01 01:30:00,483.00,564.00,138.20,38.60,176.80,84.70,3.90,3.70,10.00,1.10,4.60,NA,NA,NA,NA,12.50,96.90,0.30,189.30,0.00,0.00,3.20,995.10,NA
2021-01-01 01:45:00,472.00,521.00,138.90,36.50,175.40,81.70,NA,NA,3.90,1.00,4.30,NA,NA,NA,NA,12.50,97.40,0.50,241.60,0.00,0.00,3.10,994.90,NA
2021-01-01 02:00:00,472.00,521.00,NA,NA,NA,NA,NA,NA,3.30,1.00,4.00,NA,NA,NA,NA,12.40,96.00,0.30,248.70,0.00,0.00,3.00,994.90,NA
2021-01-01 02:15:00,472.00,521.00,NA,NA,NA,NA,NA,NA,2.90,0.90,3.90,NA,NA,NA,NA,12.30,97.10,0.30,222.70,0.00,0.00,3.00,995.00,NA
2021-01-01 02:30:00,472.00,521.00,NA,NA,NA,NA,NA,NA,3.50,0.90,3.70,NA,NA,NA,NA,12.30,97.60,0.40,230.80,0.00,0.00,3.00,995.00,NA
2021-01-01 02:45:00,418.00,483.00,199.30,31.80,231.10,72.00,3.20,3.90,2.90,0.90,3.50,NA,NA,NA,NA,12.30,97.70,0.40,225.50,0.00,0.00,3.10,994.90,NA
2021-01-01 03:00:00,418.00,483.00,222.50,33.40,256.30,66.50,3.30,3.60,2.30,0.90,3.50,NA,NA,NA,NA,12.30,97.70,0.30,231.20,0.00,0.00,3.00,994.90,NA
2021-01-01 03:15:00,418.00,483.00,238.80,36.00,274.90,58.90,3.70,3.70,3.30,0.90,3.40,NA,NA,NA,NA,12.20,97.70,0.10,172.10,0.00,0.00,3.10,994.90,NA
2021-01-01 03:30:00,418.00,483.00,228.20,31.90,260.20,62.30,3.60,3.30,2.60,0.90,3.20,NA,NA,NA,NA,12.20,97.80,0.30,155.60,0.00,0.00,3.20,994.90,NA
