Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,20.0,234.37,65.16,79.88,145.06,,,0.95,31.39,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 00:15:00,20.0,232.38,65.75,79.75,145.51,,,1.05,31.41,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 00:30:00,20.0,231.42,65.56,80.54,146.1,,,1.04,31.07,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 00:45:00,20.0,232.41,64.69,78.21,142.92,,,1.08,31.15,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 01:00:00,20.0,245.67,65.06,74.5,139.55,,,1.03,30.93,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 01:15:00,20.0,250.46,64.82,76.17,141.0,,,1.07,31.14,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 01:30:00,20.0,252.92,64.76,76.89,141.65,,,1.0,31.4,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 01:45:00,20.0,237.63,65.07,73.94,139.02,,,0.93,30.3,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 02:00:00,20.0,230.78,65.52,71.93,137.45,,,1.02,30.32,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 02:15:00,20.0,231.04,65.11,77.91,143.02,,,1.03,30.8,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 02:30:00,20.0,246.39,64.77,73.98,138.75,,,1.13,31.44,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 02:45:00,20.0,253.4,64.34,68.48,132.82,,,1.01,31.25,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 03:00:00,20.0,248.33,64.37,69.29,133.66,,,1.04,30.99,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 03:15:00,20.0,239.36,63.79,65.4,129.18,,,1.07,30.58,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 03:30:00,20.0,224.34,63.38,63.32,126.69,,,0.93,33.19,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 03:45:00,20.0,215.48,63.52,60.48,124.01,,,0.96,30.98,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 04:00:00,20.0,207.31,63.5,56.79,120.28,,,0.92,29.39,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 04:15:00,20.0,210.94,63.49,58.36,121.86,,,0.94,30.72,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 04:30:00,20.0,206.96,63.71,68.64,132.35,,,0.95,29.02,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 04:45:00,20.0,203.33,64.14,64.98,129.11,,,0.94,31.24,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 05:00:00,20.0,213.21,63.4,66.12,129.53,,,0.97,31.6,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 05:15:00,20.0,222.35,63.51,59.7,123.22,,,0.96,31.48,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 05:30:00,20.0,237.19,62.72,57.41,120.13,,,0.9,31.96,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 05:45:00,20.0,234.57,63.85,63.72,127.57,,,0.93,32.53,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 06:00:00,20.0,233.15,63.23,62.31,125.54,,,0.88,35.76,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 06:15:00,20.0,232.18,63.86,63.41,127.27,,,0.91,30.98,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 06:30:00,20.0,224.37,63.01,58.67,121.68,,,0.95,31.54,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 06:45:00,20.0,215.14,63.65,58.24,121.89,,,0.82,31.23,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 07:00:00,20.0,205.0,66.24,57.86,124.1,,,0.86,30.9,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 07:15:00,20.0,209.64,66.09,59.51,125.6,,,0.91,30.46,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 07:30:00,20.0,206.13,67.52,60.21,127.75,,,1.0,30.5,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 07:45:00,20.0,200.87,67.85,61.85,129.71,,,0.9,30.58,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 08:00:00,20.0,208.02,68.53,61.48,130.01,,,0.89,30.86,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 08:15:00,20.0,202.57,66.81,58.37,125.16,,,0.91,30.77,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 08:30:00,20.0,193.17,67.66,54.96,122.63,,,0.94,29.14,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 08:45:00,20.0,176.91,67.94,53.65,121.59,,,0.89,31.13,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 09:00:00,20.0,174.34,66.28,46.82,113.09,,,0.91,31.13,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 09:15:00,20.0,165.61,68.44,49.93,118.37,,,0.86,31.13,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 09:30:00,20.0,163.91,68.2,51.02,119.25,,,0.88,31.6,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 09:45:00,49.9,167.53,72.42,60.9,133.34,,,0.94,32.29,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 10:00:00,178.19,171.8,71.15,59.21,130.35,,,0.99,31.04,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 10:15:00,229.5,184.87,71.01,57.56,128.57,,,1.01,29.87,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 10:30:00,228.79,197.9,71.68,56.81,128.48,,,1.07,32.15,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 10:45:00,194.12,217.19,70.51,56.11,126.62,,,1.01,37.59,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 11:00:00,180.26,229.89,71.95,55.67,127.63,,,1.0,32.52,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-01 11:15:00,175.98,232.93,74.35,58.03,132.39,,,1.0,32.69,0.0,0.0,0.0,,,,,,,,,0.0,,,
