Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,141.72,376.39,17.29,22.37,39.75,,,2.14,30.2,,,,,,,,,,,,0.0,,,
2024-01-01 00:15:00,148.28,373.09,21.88,19.56,41.43,,,2.12,29.88,,,,,,,,,,,,0.0,,,
2024-01-01 00:30:00,156.84,365.23,18.65,25.3,43.94,,,2.13,29.41,,,,,,,,,,,,0.0,,,
2024-01-01 00:45:00,149.47,351.19,16.37,27.75,44.27,,,2.15,29.46,,,,,,,,,,,,0.0,,,
2024-01-01 01:00:00,143.98,332.39,23.05,22.93,45.89,,,2.15,28.3,,,,,,,,,,,,0.0,,,
2024-01-01 01:15:00,147.03,320.35,35.37,16.74,52.02,,,2.11,27.12,,,,,,,,,,,,0.0,,,
2024-01-01 01:30:00,142.4,311.12,37.78,24.46,62.54,,,2.11,27.27,,,,,,,,,,,,0.0,,,
2024-01-01 01:45:00,144.95,306.53,37.25,34.13,71.39,,,2.11,27.66,,,,,,,,,,,,0.0,,,
2024-01-01 02:00:00,152.39,300.46,43.56,30.62,74.04,,,2.07,27.63,,,,,,,,,,,,0.0,,,
2024-01-01 02:15:00,161.03,296.19,44.07,33.15,77.35,,,2.09,28.16,,,,,,,,,,,,0.0,,,
2024-01-01 02:30:00,164.53,304.3,50.92,24.63,75.64,,,2.07,28.87,,,,,,,,,,,,0.0,,,
2024-01-01 02:45:00,160.17,322.54,47.86,35.69,83.35,,,2.04,28.73,,,,,,,,,,,,0.0,,,
2024-01-01 03:00:00,151.3,336.23,57.13,25.12,82.32,,,2.04,28.96,,,,,,,,,,,,0.0,,,
2024-01-01 03:15:00,156.23,330.21,59.17,25.33,84.61,,,2.03,29.29,,,,,,,,,,,,0.0,,,
2024-01-01 03:30:00,143.14,320.3,55.93,34.96,90.99,,,2.04,29.16,,,,,,,,,,,,0.0,,,
2024-01-01 03:45:00,145.09,315.43,60.81,32.02,92.66,,,2.01,29.01,,,,,,,,,,,,0.0,,,
2024-01-01 04:00:00,142.01,320.41,64.15,26.61,90.85,,,2.04,29.66,,,,,,,,,,,,0.0,,,
2024-01-01 04:15:00,153.25,321.32,63.42,30.09,93.54,,,2.0,29.5,,,,,,,,,,,,0.0,,,
2024-01-01 04:30:00,153.82,328.98,64.27,30.9,95.23,,,1.98,29.45,,,,,,,,,,,,0.0,,,
2024-01-01 04:45:00,150.62,327.29,65.06,37.85,102.85,,,2.01,29.89,,,,,,,,,,,,0.0,,,
2024-01-01 05:00:00,152.1,324.16,67.09,39.74,106.83,,,2.01,29.89,,,,,,,,,,,,0.0,,,
2024-01-01 05:15:00,144.96,318.52,62.24,30.86,93.08,,,1.98,31.87,,,,,,,,,,,,0.0,,,
2024-01-01 05:30:00,161.67,309.94,52.43,23.91,76.11,,,2.02,34.13,,,,,,,,,,,,0.0,,,
2024-01-01 05:45:00,173.32,319.15,39.05,30.16,69.25,,,1.98,33.23,,,,,,,,,,,,0.0,,,
2024-01-01 06:00:00,149.18,333.12,29.93,29.19,59.09,,,1.98,32.15,,,,,,,,,,,,0.0,,,
2024-01-01 06:15:00,140.07,332.14,28.87,25.03,53.78,,,1.99,31.83,,,,,,,,,,,,0.0,,,
2024-01-01 06:30:00,141.38,321.22,21.37,30.6,52.02,,,1.99,30.98,,,,,,,,,,,,0.0,,,
2024-01-01 06:45:00,118.83,311.64,19.14,25.54,44.54,,,2.0,30.28,,,,,,,,,,,,0.0,,,
2024-01-01 07:00:00,113.79,306.37,23.38,17.21,40.63,,,2.01,29.74,,,,,,,,,,,,0.0,,,
2024-01-01 07:15:00,104.34,296.84,21.64,18.32,40.02,,,2.0,29.52,,,,,,,,,,,,0.0,,,
