Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,53.0,248.7,44.87,21.19,66.05,50.7,21.6,0.9,19.2,0.22,,,,,,,93.12,0.72,39.64,,0.0,,,
2024-01-01 00:15:00,51.0,227.17,43.82,19.43,63.25,49.2,21.2,0.9,19.1,0.17,,,,,0.54,,93.11,0.7,32.55,,0.0,,,
2024-01-01 00:30:00,51.0,226.9,44.1,17.78,61.88,48.5,21.4,0.9,19.1,0.18,,,,,0.02,,93.14,0.51,26.3,,0.0,,,
2024-01-01 00:45:00,51.0,226.9,44.24,15.37,59.61,47.0,21.1,0.9,19.5,0.06,,,,,,,93.16,0.7,37.58,,0.0,,,
2024-01-01 01:00:00,49.0,226.9,44.86,16.31,61.17,48.6,21.5,0.9,19.2,0.21,,,,,,,93.14,0.67,64.41,,0.0,,,
2024-01-01 01:15:00,49.0,217.91,44.35,17.77,62.13,49.8,21.7,0.9,19.3,0.17,,,,,,,93.13,0.7,51.81,,0.0,,,
2024-01-01 01:30:00,49.0,217.8,42.1,21.07,63.17,49.0,22.2,0.9,19.1,0.13,,,,,,,93.14,0.61,61.17,,0.0,,,
2024-01-01 01:45:00,49.0,217.8,42.86,22.52,65.38,49.8,22.1,0.9,19.2,0.16,,,,,,,93.13,0.7,36.88,,0.0,,,
2024-01-01 02:00:00,61.0,217.8,44.44,22.07,66.51,51.6,22.4,0.8,19.3,0.15,,,,,,,93.12,0.71,47.63,,0.0,,,
2024-01-01 02:15:00,62.0,214.93,44.84,24.13,68.97,52.8,22.7,0.8,19.0,0.13,,,,,,,93.13,0.7,42.5,,0.0,,,
2024-01-01 02:30:00,62.0,214.9,44.83,25.69,70.53,53.1,22.7,0.8,19.2,0.1,,,,,,,93.11,0.71,42.26,,0.0,,,
2024-01-01 02:45:00,62.0,214.9,43.18,26.94,70.11,53.9,22.5,0.8,18.8,0.08,,,,,,,93.04,0.62,42.64,,0.0,,,
2024-01-01 03:00:00,59.0,214.9,44.05,24.51,68.56,53.6,22.1,0.8,19.0,0.1,,,,,,,93.08,0.61,46.88,,0.0,,,
2024-01-01 03:15:00,59.0,229.62,43.92,22.44,66.37,51.0,22.1,0.7,19.0,0.14,,,,,,,93.09,0.71,44.86,,0.0,,,
2024-01-01 03:30:00,59.0,229.8,43.77,21.12,64.89,49.8,21.7,0.8,19.1,0.08,,,,,,,93.09,0.64,23.23,,0.0,,,
2024-01-01 03:45:00,59.0,229.8,43.63,20.42,64.05,51.0,21.6,0.8,19.3,,,,,,,,93.08,0.5,24.8,,0.0,,,
2024-01-01 04:00:00,59.0,229.8,43.48,20.46,63.94,51.1,21.5,0.8,19.2,0.12,,,,,,,93.12,0.6,21.67,,0.0,,,
2024-01-01 04:15:00,59.0,246.99,43.86,18.4,62.25,48.7,21.3,0.8,19.3,0.11,,,,,,,93.12,0.66,40.96,,0.0,,,
2024-01-01 04:30:00,59.0,247.2,45.09,15.28,60.37,48.0,20.9,0.8,19.4,0.09,,,,,,,93.17,0.29,8.74,,0.0,,,
2024-01-01 04:45:00,59.0,247.2,44.76,14.72,59.48,47.1,21.4,0.8,19.4,0.12,,,,,,,93.15,0.32,26.08,,0.0,,,
2024-01-01 05:00:00,70.0,247.2,43.31,17.73,61.05,47.6,21.7,0.8,19.3,0.03,,,,,,,93.13,0.65,34.42,,0.0,,,
2024-01-01 05:15:00,70.0,272.5,42.92,20.56,63.48,48.9,21.9,0.8,19.3,,,,,,,,93.13,0.51,23.7,,0.0,,,
