Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,259.0,343.0,1.0,68.2,37.1,26.9,23.0,1.58,7.4,,,,,,,13.9,78.0,0.3,174.0,,0.0,7.0,,-0.01
2024-01-01 00:15:00,259.0,343.0,0.8,67.7,36.6,25.5,24.7,1.63,5.7,,,,,,,13.9,78.0,0.4,163.0,,0.0,7.0,,-0.02
2024-01-01 00:30:00,259.0,343.0,1.0,67.7,36.8,24.8,27.6,1.6,6.8,,,,,,,13.8,78.0,0.3,148.0,,0.0,7.0,,-0.01
2024-01-01 00:45:00,274.0,367.0,1.1,67.8,37.0,24.9,27.8,1.61,8.2,,,,,,,13.8,78.0,0.3,156.0,,0.0,7.0,,-0.01
2024-01-01 01:00:00,274.0,367.0,0.8,68.9,37.2,26.3,21.2,1.66,,,,,,,,13.8,78.0,0.3,161.0,,0.0,7.0,,-0.02
2024-01-01 01:15:00,274.0,367.0,0.6,66.8,36.0,29.5,21.0,1.66,,,,,,,,13.8,78.0,0.3,174.0,,0.0,7.0,,-0.01
2024-01-01 01:30:00,274.0,367.0,0.9,66.4,36.1,29.5,21.1,1.57,,,,,,,,13.8,78.0,0.3,207.0,,0.0,7.0,,-0.02
2024-01-01 01:45:00,250.0,324.0,1.3,67.4,36.9,27.5,24.2,1.53,7.1,,,,,,,13.6,79.0,0.3,184.0,,0.0,7.0,,-0.01
2024-01-01 02:00:00,250.0,324.0,,,,,,,6.9,,,,,,,13.5,79.0,0.4,147.0,,0.0,7.0,,-0.01
2024-01-01 02:15:00,250.0,324.0,,,,,,,7.1,,,,,,,13.6,79.0,0.4,143.0,,0.0,7.0,,-0.01
2024-01-01 02:30:00,250.0,324.0,,,,,,,7.1,,,,,,,13.6,79.0,0.6,160.0,,0.0,7.0,,0.0
2024-01-01 02:45:00,213.0,294.0,0.9,66.8,36.3,27.9,19.2,1.49,8.8,,,,,,,13.6,79.0,0.8,139.0,,0.0,7.0,,0.12
2024-01-01 03:00:00,213.0,294.0,1.0,67.0,36.5,29.3,24.7,1.5,8.0,,,,,,,13.6,79.0,0.4,142.0,,0.0,7.0,,-0.01
2024-01-01 03:15:00,213.0,294.0,1.5,67.1,36.9,30.6,24.0,1.48,7.2,,,,,,,13.6,78.0,0.3,155.0,,0.0,7.0,,-0.02
2024-01-01 03:30:00,213.0,294.0,1.6,66.1,36.5,30.3,20.1,1.45,6.1,,,,,,,13.6,78.0,0.3,169.0,,0.0,7.0,,0.03
2024-01-01 03:45:00,210.0,268.0,0.8,64.3,34.9,31.1,19.1,1.49,5.8,,,,,,,13.5,79.0,0.8,133.0,,0.0,7.0,,0.07
2024-01-01 04:00:00,210.0,268.0,1.1,64.5,35.2,32.1,19.9,1.44,6.4,,,,,,,13.5,79.0,0.5,185.0,,0.0,7.0,,-0.01
2024-01-01 04:15:00,210.0,268.0,0.6,65.0,35.1,33.7,24.1,1.43,7.5,,,,,,,13.4,79.0,1.0,149.0,,0.0,7.0,,0.03
