CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
0.87156457,0.55,0.10340377080718792
0.8725413,0.57,0.09153124329020834
0.85902965,0.58,0.07785754596316297
0.87205905,0.6,0.07401612517541722
0.8749541,0.6,0.07559975953934157
0.876876,0.61,0.07122279755572457
0.8785815,0.63,0.06179277402209154
0.8802488,0.65,0.05301450300268924
0.88291967,0.65,0.05425157227755391
0.8849709,0.68,0.042013071239220955
0.90666527,0.72,0.034843921366641384
0.9001057,0.72,0.03243806850288903
0.90095377,0.7,0.04038241755014498
0.90027535,0.66,0.05773224363357368
0.89923465,0.64,0.06720260506676388
