CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
0.82469,0.55,0.07545458748659767
0.82376766,0.57,0.06439802630148045
0.82237333,0.58,0.05874483138279659
0.82123053,0.6,0.04894294773098467
0.82018894,0.6,0.04848316910956912
0.8197964,0.61,0.04401452247970134
0.820556,0.63,0.03631158340937605
0.8210966,0.65,0.029274046224277435
0.8205691,0.65,0.02909381719108651
0.8204083,0.68,0.019714486402330103
0.82243866,0.72,0.010493678506104345
0.8252109,0.72,0.011069339563563546
0.82415795,0.7,0.015415197358290708
0.823226,0.66,0.026642718926655644
0.8233658,0.64,0.03362301937232607
