NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
12.650762,1.2,131.11994131871913
12.532071,1.4,123.92300727794532
13.3781805,2.0,129.46299157808335
12.471043,1.9,111.74694234990106
12.214672,1.7,110.55832913126856
12.059651,1.5,111.50623715767233
11.965464,1.7,105.37974370937577
11.864076,1.7,103.30843403654731
11.653287,1.9,95.1266060149635
11.5070915,1.9,92.29620751624985
10.146795,2.2,63.15155510822791
10.706045,2.3,70.6615950765625
10.595845,2.3,68.82104795523048
10.594072,1.8,77.33570835490374
10.66441,2.0,75.07199436555675
