NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
19.67981,10.399999999999999,86.1148656612635
19.668663,11.1,73.42198603432858
19.329718,12.599999999999998,45.28909946174844
19.600027,14.4,27.040281677979653
19.626125,16.4,10.4078846816026
19.652855,17.1,6.517068239676293
19.703455,17.4,5.305904804868776
19.747149,19.0,0.5582309016645013
19.787167,21.0,1.4709648671705509
19.82763,22.999999999999996,10.06393719470359
20.370737,24.5,17.050812297125958
20.298212,25.5,27.05859786228757
20.284098,26.6,39.890622223040715
20.239653,23.9,13.398142842220976
20.216751,21.7,2.2000273034069666
