NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
20.551085,10.399999999999999,103.04451690036238
20.522495,11.1,88.78341710893962
20.599949,12.599999999999998,63.99918213151923
20.626032,14.4,38.76347291611615
20.601648,16.4,17.653848694777274
20.601547,17.1,12.260833082431917
20.56659,17.4,10.027288146168003
20.52206,19.0,2.316667843857431
20.51537,21.0,0.23486680364294443
20.528505,22.999999999999996,6.108285926984518
20.484379,24.5,16.125213503852137
20.531528,25.5,24.685709315599524
20.513031,26.6,37.05119153562935
20.498274,23.9,11.57174080308191
20.436672,21.7,1.595997103234402
