NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
18.17377,1.2,288.1088987198431
18.215733,1.4,282.7688620158524
18.370182,2.0,267.9828599360917
18.468565,1.9,274.51734573449374
18.521908,1.7,282.976582246903
18.54888,1.5,290.6642964136299
18.470192,1.7,281.23933822654425
18.399374,1.7,278.86909226503474
18.430656,1.9,273.26260210937124
18.451643,1.9,273.95688567213386
18.27852,2.2,258.5188241735347
18.123146,2.3,250.37195114523402
18.181719,2.3,252.22899287745952
18.234772,1.8,270.10172176841644
18.178684,2.0,261.7498235635139
