Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
35.155087,19.8,235.7786819548119
35.114483,19.4,246.94497217445698
34.986412,16.9,327.1183007823327
35.03083,13.1,480.9613213011086
34.993195,10.8,585.3106639895216
34.98136,10.2,614.1158723001578
35.00846,9.3,660.9249669132032
35.02688,6.800000000000001,796.756661777126
35.014454,5.2,888.901660636068
35.018517,4.5,931.3798518344411
35.222603,8.2,730.2210644774349
35.28914,5.5,887.3927900849376
35.247684,3.1,1033.4736173458914
35.202892,4.2,961.1793311803608
35.19751,7.550000000000002,764.3847962403297
