Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
38.01383,19.8,331.7435405254602
37.942177,19.4,343.81232118141145
37.874985,16.9,439.94998489403173
37.807156,13.1,610.4435382938065
37.728935,10.8,725.1675532516301
37.702545,10.2,756.3899906087295
37.741623,9.3,808.9259145967756
37.762733,6.800000000000001,958.6908632823476
37.725048,5.2,1057.8787516426298
37.718727,4.5,1103.4838309293264
37.839977,8.2,878.5282522344037
38.042133,5.5,1058.9904417520302
37.965145,3.1,1215.5783436169434
37.89756,4.2,1135.5255580160044
37.885952,7.550000000000002,920.2699834944918
