PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
182.14584,30.0,23148.35769610945
182.04424,30.0,23117.449466521153
180.88441,14.000000000000002,27850.407860700274
181.70879,14.000000000000002,28126.236905196914
181.71529,14.000000000000002,28128.417243557284
181.76852,21.0,25846.518363774754
181.95558,28.000000000000004,23702.321125820512
182.10841,28.000000000000004,23749.403171986574
182.19737,28.000000000000004,23776.829666327918
182.31625,28.000000000000004,23813.506144308485
184.17274,46.0,19091.70739201852
184.0883,46.0,19068.379318347434
183.97705,46.0,19037.66654229164
183.77614,46.0,18982.264286421472
183.70349,57.99999999999999,15801.367702618241
