PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
174.34877,30.0,20836.567441392923
174.16171,30.0,20782.599393167533
174.2826,14.000000000000002,25690.5095461756
173.56023,14.000000000000002,25459.465861721197
173.27574,14.000000000000002,25368.76185495057
173.12228,21.0,23141.189269767143
173.25603,28.000000000000004,21099.31344422535
173.3515,28.000000000000004,21127.058978084475
173.1517,28.000000000000004,21069.01684921328
173.07117,28.000000000000004,21045.643492475152
172.8431,46.0,16089.170463038841
173.78119,46.0,16328.032253269106
173.61424,46.0,16285.394902557367
173.47183,46.0,16249.068023645319
173.4535,57.99999999999999,13329.512156155193
