PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
44.016792,17.0,729.9070660388679
44.07152,8.0,1301.1546820124058
44.210266,8.0,1311.1833719946444
44.179173,8.0,1308.932523933021
44.23396,8.0,1312.8997991621873
44.253246,11.0,1105.7783899788192
44.221535,14.0,913.3411613763892
44.20102,14.0,912.1015659803525
44.2226,14.0,913.4054921004135
44.22151,24.0,408.9095411284361
44.00074,24.0,400.02960259845713
43.900944,24.0,396.0475623835955
43.956516,24.0,398.2625414698996
44.0133,27.0,289.4524398176145
44.018166,27.0,289.61795999348396
