PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
58.55939,17.0,1727.1829820969288
58.523636,8.0,2552.6377809441183
58.47588,8.0,2547.814428378493
58.468994,8.0,2547.1193695664406
58.39318,8.0,2539.4726758953766
58.333157,11.0,2240.4277123657666
58.301987,14.0,1962.6660250651184
58.274277,14.0,1960.2115802655462
58.216682,14.0,1955.1150054764585
58.16519,24.0,1167.2603205079213
58.14997,24.0,1166.2205198677839
58.106228,24.0,1163.2347798447736
58.059593,24.0,1160.055888996052
58.01776,27.0,962.1015117503703
58.091763,27.0,966.6976980131731
