SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
27.650352,3.0,607.6398772909888
27.618263,3.3999999999999995,586.5242745861435
27.865103,3.0,618.2733356604331
27.604485,2.9,610.3115572816716
27.533,3.3,587.2383348510141
27.489305,3.7,565.9310559922843
27.461271,4.0,550.4312503557921
27.43156,4.4,530.4527798186342
27.371984,4.5,523.1276741362271
27.330118,4.7,512.122248810048
26.933352,4.4,507.7519305762313
27.089954,3.7,547.0899657216861
27.060322,3.7,545.7046349668416
27.061756,4.3,518.0975423051981
27.082048,4.0,532.7809590849247
