SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
20.93866,3.0,321.7955106832087
20.970856,3.3999999999999995,308.73497048322116
20.95832,3.0,322.50127940723905
21.067335,2.9,330.05206568155575
21.1188,3.3,317.5096052718536
21.148792,3.7,304.46035157153443
21.132393,4.0,293.51888590777526
21.121326,4.4,279.6027581315308
21.157978,4.5,277.48823297618947
21.176052,4.7,271.46029258791884
21.211992,4.4,282.6430838778675
21.076569,3.7,301.945136432685
21.107021,3.7,303.0043916452915
21.133234,4.3,283.3577677083622
21.127346,4.0,293.34598233342695
