CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
0.90171343,1.16,0.06671195178700551
0.9085154,1.12,0.044725738687494285
0.9151874,1.09,0.03055943866438341
0.90814596,1.06,0.02305964820525107
0.90545386,0.98,0.005557126875628958
0.9008316,0.94,0.001534165112602041
0.9022361,0.9,5.000161150405702e-06
0.8941402,0.8700000000000001,0.0005827484799631753
0.8989326,0.84,0.0034730485351530923
0.8949716,0.8,0.00901960653800642
0.87493294,0.76,0.013209581794567615
0.8685032,0.73,0.019183139991592754
0.8639632,0.68,0.03384245407585812
0.86379,0.64,0.050081953198365226
0.86287844,0.63,0.05423236866013669
