CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
0.89753634,1.16,0.06888717419819337
0.8919141,1.12,0.05202316443250034
0.8859332,1.09,0.04164325054182272
0.8770604,1.06,0.03346689235979613
0.8767934,0.98,0.010651605472230945
0.87648237,0.94,0.004034489636427877
0.8772306,0.9,0.0005184462766818864
0.8757163,0.8700000000000001,3.267641290224097e-05
0.87737256,0.84,0.001396708456614541
0.87676394,0.8,0.0058927024624432466
0.8757877,0.76,0.01340678577006793
0.8746772,0.73,0.020931486772679277
0.87410533,0.68,0.03767688079669643
0.87478054,0.64,0.05512189994261027
0.87404114,0.63,0.0595560780513013
