NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
59.100224,37.5,466.56965703239257
59.98302,49.0,120.62674550818338
61.052155,34.5,705.0169107699767
60.998264,30.899999999999995,905.9055146398078
60.75167,29.2,995.5079326317856
60.362644,28.5,1015.2280951326393
60.38941,25.2,1238.2944432427878
59.870296,30.7,850.9061966302578
60.136677,26.8,1111.3340192895855
59.823486,26.5,1110.4547410607338
58.410763,26.9,992.928171410091
58.03464,25.7,1045.5290257924473
57.738102,26.4,982.0766344070022
57.65091,18.8,1509.3931630584973
57.51983,22.4,1233.4023746875139
