NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
61.373608,37.5,569.9491415337106
61.217213,49.0,149.26028559509723
61.158745,34.5,710.6886749519617
60.71444,30.899999999999995,888.9007962645989
60.67203,29.2,990.4887606054783
60.654675,28.5,1033.9230941321148
60.438942,25.2,1241.7830301477782
60.333076,30.7,878.1192214947404
60.469048,26.8,1133.6047626808497
60.406174,26.5,1149.6286153851543
60.564613,26.9,1133.3061914855639
60.510376,25.7,1211.7622756296394
60.461903,26.4,1160.2132099859236
60.505226,18.8,1739.3258869926658
60.321297,22.4,1438.0247427946913
