NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
22.11087,14.4,59.45752172920852
21.824718,16.5,28.35262684164627
21.511126,21.4,0.01234889110215622
21.306257,18.5,7.875079741530499
21.330225,13.7,58.220333410911415
21.366182,19.0,5.5988188058872765
21.629768,28.6,48.58412895379823
21.673721,16.4,27.812136492216975
21.648743,16.6,25.489802606254802
21.681046,15.300000000000002,40.717742084348544
21.750734,25.0,10.557727399285795
21.78011,29.0,52.12682019629574
21.799961,20.1,2.8898677078128046
21.804731,20.7,1.2204313976936116
21.853577,22.3,0.19929379835724895
