PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
224.01335,95.0,16644.44484989182
225.52327,96.0,16776.277381686727
227.43512,96.0,17275.190671864897
227.69508,96.0,17343.595049195224
227.3154,96.0,17243.73405915592
226.73636,68.0,25197.231555105187
226.71844,68.0,25191.54472741857
226.04823,68.0,24979.24396460899
226.35826,68.0,25077.338861275697
225.90485,83.0,20421.795064989477
223.97499,83.0,19873.948043670738
223.51935,83.0,19745.687202963978
223.132,83.0,19636.97848456935
222.95638,77.0,21303.263438774506
222.72693,77.0,21236.33775152266
