PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
214.5956,95.0,14303.106657576049
215.61974,96.0,14308.881173189962
216.98196,96.0,14636.635640234686
218.09912,96.0,14908.195371866226
218.05937,96.0,14898.490280399332
218.09401,68.0,22528.211657591397
217.35986,68.0,22308.368759393692
217.47461,68.0,22342.658847808838
217.40012,68.0,22320.394650892355
217.39488,83.0,18061.984362129355
218.04178,83.0,18236.28195785079
218.18506,83.0,18275.00006699562
218.20692,83.0,18280.91241611191
218.14595,77.0,19922.179290997097
217.8678,77.0,19843.736471548676
