PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
71.452965,29.0,1802.2542188424268
70.96615,31.0,1597.2930160496035
70.28948,31.0,1543.6634049984277
69.950554,31.0,1517.1456486527459
70.042465,31.0,1524.3140896710102
70.16661,22.0,2320.022388037527
70.21851,22.0,2325.0250430666492
70.276886,22.0,2330.657720536925
70.282425,22.0,2331.192556808004
70.36902,14.0,3177.4662528187037
70.6388,14.0,3207.9538438190357
70.649734,14.0,3209.192418588558
70.68779,14.0,3213.505525673041
70.76362,16.0,2999.053907844296
70.84138,16.0,3007.57665958727
