PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
94.43635,29.0,4281.915634528792
94.59142,31.0,4043.8690835741
94.69603,31.0,4057.1841948407236
95.05121,31.0,4102.557309810072
95.07813,31.0,4106.007081270276
95.091576,22.0,5342.378426988202
95.20323,22.0,5358.713147651637
95.28064,22.0,5370.05214728415
95.184685,22.0,5355.9980824571685
95.227165,14.0,6597.852370029374
95.15029,14.0,6585.3698012629175
95.193985,14.0,6592.463197801495
95.22797,14.0,6597.982510630041
95.195625,16.0,6271.947067477799
95.30737,16.0,6289.659419596195
