SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
27.685806,10.3,302.26625981145537
27.61658,10.2,303.3372260064482
27.575516,10.3,298.44344432727434
27.760803,10.2,308.38180982485414
27.801785,9.9,320.47388883512997
27.87669,9.7,330.3920561166021
27.841848,9.8,325.5082927292284
27.994486,10.0,323.80152118948536
27.898727,9.8,327.5639341145847
27.965584,9.85,328.17437646081896
28.326494,9.9,339.53568912614736
28.452492,10.5,322.2919604019844
28.537373,10.9,311.0769118471357
28.530586,10.8,314.37368850896365
28.538176,11.3,297.1546974263982
