SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
21.038525,10.3,115.315911179409
20.902975,10.2,114.55367561442095
20.729946,10.3,108.78377640976161
20.568783,10.2,107.51165688622336
20.57169,9.9,113.88495904068054
20.566517,9.7,118.08118902118936
20.64775,9.8,117.67369860113597
20.628271,10.0,112.96014663685128
20.644186,9.8,117.59637043413952
20.641785,9.85,116.46261631980539
20.568665,9.9,113.82040329709649
20.54813,10.5,100.96491720831546
20.543043,10.9,92.98828093426432
20.552763,10.8,95.11638584606246
20.578577,11.3,86.09199191738864
