CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
1.0813665,0.63,0.20373175253016088
1.0835125,0.6599999999999999,0.17936287546063628
1.0837606,0.69,0.1550474252040333
1.0832317,0.65,0.18768969509376118
1.0836276,0.64,0.1968054311530479
1.0890869,0.68,0.16735208375039562
1.089247,0.64,0.2018228564934835
1.0853992,0.64,0.19838040357646566
1.0836354,0.64,0.1968124119727556
1.0854746,0.63,0.20745712065405772
1.0834001,0.61,0.22410768334146292
1.0816472,0.61,0.2224510413373101
1.0779682,0.6,0.22845363824244547
1.0720364,0.57,0.25204053240224594
1.0735431,0.55,0.27409734797410235
