CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
1.1248232,0.63,0.2448500117511367
1.1252152,0.6599999999999999,0.21642515697322443
1.1211038,0.69,0.18585045497311845
1.1218334,0.65,0.22262679853874998
1.1201032,0.64,0.23049912107109796
1.1191311,0.68,0.192836112673633
1.1215076,0.64,0.23184961185958816
1.124359,0.64,0.2346036521666476
1.1247078,0.64,0.23494166886067452
1.1225744,0.63,0.24262958739931947
1.1245497,0.61,0.26476144163696996
1.1255239,0.61,0.2657649170696279
1.1257713,0.6,0.2764354431877314
1.1252024,0.57,0.30824972425755276
1.126101,0.55,0.33189238178646513
