NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
46.883686,28.8,327.01970172184576
46.993958,31.1,252.61788563266393
46.91715,32.0,222.52132205876114
46.922047,26.3,425.2688085040083
46.86831,27.6,371.26773252859937
47.03521,28.6,339.85695505189005
47.145985,27.1,401.84150057433226
47.130966,25.1,485.363471111739
47.089897,24.7,501.30749464558676
47.05745,26.0,443.4161727412138
47.041706,26.7,413.7850064568693
46.997456,25.4,466.4500882610964
46.865467,22.9,574.3436119567423
46.617027,25.8,433.3486248892941
46.683308,24.5,492.0991381927306
