NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
54.396725,28.8,655.192315415084
54.501472,31.1,547.6289139113411
54.96913,32.0,527.5810004735831
54.973507,26.3,822.1699995208304
54.88156,27.6,744.2835858360305
54.91735,28.6,692.6029515008464
55.00457,27.1,778.6650272936582
55.131454,25.1,901.888257449949
55.13696,24.7,926.4084777896998
55.025288,26.0,842.4673218982207
54.84475,26.7,792.1269216417545
54.843456,25.4,866.9171170239157
54.79547,22.9,1017.3210825218262
54.68958,25.8,834.6077753755968
54.673412,24.5,910.4348112136504
