NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
18.185925,4.8999999999999995,176.51579061763422
18.119114,5.599999999999999,156.72821339499734
18.180998,4.8,179.0511034218491
18.1813,4.999999999999999,173.74664885286256
18.225046,3.1000000000000005,228.76702127669716
18.167402,4.0,200.71528700791896
18.185335,3.3,221.57320280474508
18.261166,5.099999999999999,173.21628044802293
18.301056,4.6,187.71893299970776
18.26711,5.2,170.74938530198548
18.19729,1.5,278.79950738759726
18.207478,2.2,256.23933814060933
18.24823,5.099999999999999,172.87595161929733
18.310175,2.8,240.56552673195966
18.267944,1.6,277.82036838591097
