Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
37.408775,2.588888888888889,1212.4244917433102
37.441067,2.516666666666666,1219.7137206179868
37.299244,2.4444444444444438,1214.8570469692913
37.3354,2.372222222222222,1222.4237742859013
37.23942,2.2999999999999994,1220.7631988266955
37.196487,4.7,1056.0216950774284
37.323406,9.1,796.560658629919
37.47848,10.0,755.0669341546163
37.496193,7.2,917.8593061807775
37.378067,6.7,941.1437958750968
37.45175,7.1,921.2288318038359
37.49912,6.7,948.5857191602938
37.505157,5.2,1043.6231992069258
37.46409,5.3,1034.5285851723727
37.5059,10.425,733.3752172064508
