PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
214.93315,72.0,20429.885724859545
215.10654,40.0,30662.299252935685
214.91408,40.0,30594.934598207707
214.94746,40.0,30606.61515627266
214.80368,40.0,30556.32668835018
214.97517,41.0,30267.361151000718
215.23141,41.0,30356.58590144012
215.35402,41.0,30399.32399900281
215.3291,41.0,30390.63565158844
215.17648,58.0,24704.44685675297
215.22446,58.0,24719.529812001623
215.19151,58.0,24709.171778571093
215.02965,58.0,24658.310296718264
214.68411,61.0,23618.80644992087
214.77943,61.0,23648.1143841336
