PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
214.33871,72.0,20260.30967386905
214.23495,40.0,30357.819486000575
212.73885,40.0,29838.708857020596
212.86021,40.0,29880.653664816404
212.70703,40.0,29827.718643188477
212.47668,41.0,29404.25335122645
212.75154,41.0,29498.591883173445
213.04463,41.0,29599.355385566363
213.09702,41.0,29617.38270299975
212.90535,58.0,23995.667375421384
213.55132,58.0,24196.21169392974
213.72508,58.0,24250.301287696
213.84785,58.0,24288.55378786684
213.92235,61.0,23385.244524702663
214.10736,61.0,23441.86394334212
