PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
86.95328,38.0,2396.4233865970746
86.92162,14.0,5317.563134495227
87.03267,14.0,5333.770751105854
86.99939,14.0,5328.910889044404
87.08844,14.0,5341.920053068548
87.15343,16.0,5062.810191493714
87.01972,16.0,5043.800910807273
86.842476,16.0,5018.6563903829665
86.805,16.0,5013.3480682159425
86.94048,24.0,3961.5044120131643
86.85472,24.0,3950.715960704023
86.82189,24.0,3946.590087404533
86.8031,24.0,3944.229443207383
86.81841,28.0,3459.6056820480735
86.81046,28.0,3458.670552588592
