PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
111.1356,38.0,5348.815582043084
111.07165,14.0,9422.904776329233
111.095955,14.0,9427.624456975667
111.077896,14.0,9424.117914729053
111.15011,14.0,9438.143549969012
111.10873,16.0,9045.669856730441
111.146484,16.0,9052.85348892212
111.26699,16.0,9075.7995097214
111.32315,16.0,9086.503046938218
111.26367,24.0,7614.948429107666
111.19968,24.0,7603.783584089018
111.190384,24.0,7602.163046570728
111.21402,24.0,7606.285245382227
111.25053,28.0,6930.650150576199
111.207,28.0,6923.404970885254
