SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
6.0309987,3.8,4.977355229821924
6.025342,2.9,9.767762539517172
6.021903,3.7,5.39123371798927
6.0242944,2.7,11.050933100787086
6.020947,0.9,26.224097967082713
6.0030236,1.3,22.118431211854197
6.0057898,2.3,13.732877721417792
6.021615,2.5,12.40177240812136
6.027806,1.9,17.038780765494817
6.019009,2.8,10.362019671584214
6.027303,4.05,3.9097280192411663
6.0333486,5.3,0.5378001109428535
6.0448203,6.8,0.5702963661741611
6.0622096,6.7,0.40677658646099213
6.0578914,6.500000000000001,0.1954600417232094
