SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
4.1871033,3.8,0.14984894279390587
4.1857796,2.9,1.6532291065721076
4.1584573,3.7,0.21018307685634666
4.161008,2.7,2.1345440288249296
4.157106,0.9,10.60873899168074
4.152613,1.3,8.137401857688829
4.1590004,2.3,3.455882475036779
4.166079,2.5,2.7758193819956887
4.1672087,1.9,5.140235160441407
4.162353,2.8,1.8560058022944672
4.1743183,4.05,0.015455043096008056
4.177911,5.3,1.2590841621000797
4.1800766,6.8,6.863998626472894
4.180784,6.7,6.346448118671688
4.184492,6.500000000000001,5.361576783066998
