CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
1.4820693,0.68,0.6433150880862056
1.4625058,0.6649999999999999,0.6360155288081039
1.4640547,0.65,0.6626850606363865
1.462658,0.7,0.5816472976850998
1.4705148,0.68,0.6249136084221685
1.4693177,0.66,0.6549950984795833
1.4524004,0.72,0.536410413210343
1.455534,0.58,0.7665597524517275
1.4460278,0.54,0.8208862941663769
1.4442859,0.552,0.7961740730849526
1.4481486,0.5640000000000001,0.7817187613956176
1.4498186,0.576,0.7635589651834109
1.451914,0.588,0.7463473178899558
1.4537245,0.6,0.7288455279056058
1.460555,0.61,0.7234437355404182
