CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
1.40677,0.68,0.5281946197033401
1.4031067,0.6649999999999999,0.544801485015452
1.4010515,0.65,0.5640783876489512
1.4014704,0.7,0.4920607539856997
1.4024435,0.68,0.5219246514024535
1.4008267,0.66,0.5488241884407653
1.3983692,0.72,0.46018476211605874
1.3990335,0.58,0.6708159502067851
1.3985542,0.54,0.7371153244590843
1.3979332,0.552,0.7156030544974681
1.3979602,0.5640000000000001,0.6954895918408914
1.3980592,0.576,0.675781408741911
1.3988458,0.588,0.6574708981068698
1.3991722,0.6,0.6386761842370112
1.3988883,0.61,0.6223448280290287
