NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
16.727009,4.2,156.92594996583708
17.58591,3.1,209.8416116220929
17.443037,2.8,214.4185335521832
17.533447,2.5,226.0045366883278
17.167278,2.3,221.0359637462074
17.163038,2.9,203.43426022891086
17.934301,6.5,130.74324796503424
17.82012,5.0,164.3554731680524
18.28904,3.0,233.75473225169117
18.345592,3.0,235.48720913859142
18.159285,3.025,229.0465701018054
18.07551,3.05,225.76595151210915
17.998756,3.075,222.71850534595785
17.91738,3.1,219.55473166928874
17.571217,3.3,203.66762276608554
