NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
59.006134,47.0,144.14725442323834
58.034996,36.4,468.0730533355871
58.00492,34.7,543.1193409272678
57.977146,39.1,356.34664671868603
58.336826,39.6,351.0686607130855
58.196255,38.2,399.8502032360299
57.397243,36.4,440.88423458803976
57.58621,35.3,496.6750823301503
57.187984,35.6,466.0410733281221
57.07305,36.7,415.061225491783
57.240902,38.375,355.92225627462904
57.308872,40.05,297.86867040640277
57.434666,41.725,246.793595775222
57.52184,43.4,199.42634074816542
57.7948,44.4,179.42066180765633
