NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
61.279785,47.0,203.91226410865784
61.208122,36.4,615.4429297405319
60.980194,34.7,690.6486015025152
60.935135,39.1,476.77311556384893
61.01292,39.6,458.5131591847451
61.05633,38.2,522.4118957872274
61.114754,36.4,610.8190515956866
61.067326,35.3,663.955068166252
61.02027,35.6,646.1901930301473
61.038242,36.7,592.3500402048468
61.018673,38.375,512.7359243547689
61.051506,40.05,441.0632560523438
61.0676,41.725,374.1361844407446
61.09481,43.4,313.1063181297877
61.066124,44.4,277.75968793016165
