NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
24.845964,4.2,426.25584731761035
24.91174,3.1,475.75197344464766
25.11853,2.8,498.11679356634613
25.153074,2.5,513.1617736341468
25.084455,2.3,519.1314119809088
25.052279,2.9,490.7234435690278
25.000507,6.5,342.26877238265297
25.034166,5.0,401.36782078090255
25.069172,3.0,487.04834859528637
25.055567,3.0,486.44802632756546
25.07689,3.025,486.2858942693392
25.050297,3.05,484.01305855976005
25.034828,3.075,482.23405396018416
25.011986,3.1,480.13512077071
25.046347,3.3,472.9035932495097
