Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
34.942078,9.7,637.1624834181368
34.783688,10.2,604.357695599064
34.746582,11.3,549.7422089481354
34.754566,11.4,545.4357620457939
34.804092,9.5,640.297092553461
34.756737,8.0,715.9229617962264
34.638695,9.3,642.0494523017876
34.679577,10.0,609.0815146687819
34.63681,9.4,636.8965942561999
34.609497,9.7,620.483044295907
34.629677,9.3,641.5925277472683
34.636265,9.8,616.8400492666527
34.663338,9.7,623.1682294996665
34.676743,9.6,628.8430171050969
34.70136,11.675,530.2131993637192
