Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
37.785007,9.7,788.767644972285
37.617416,10.2,751.7147210549657
37.523975,11.3,687.6968843277549
37.54238,11.4,683.4240993350768
37.590534,9.5,789.0781122147018
37.5187,8.0,871.3536287905299
37.41973,9.3,790.7192793935747
37.451538,10.0,753.5869432836771
37.431763,9.4,785.7797198063136
37.403847,9.7,767.5031242334494
37.414074,9.3,790.4011537338613
37.419262,9.8,762.8236296890309
37.45588,9.7,770.3888307992579
37.47148,9.6,776.819471151838
37.47045,11.675,665.4053106071636
