PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
223.3323,47.0,31093.082106904127
221.89136,38.0,33816.03133445978
221.7774,38.0,33774.13450956717
221.76314,38.0,33768.89082049043
222.27716,38.0,33958.07193521038
222.01598,41.0,32766.78354990878
220.85687,41.0,32348.494606558233
221.1589,41.0,32457.23106135521
220.61578,41.0,32261.82975107804
220.42683,36.0,34013.2571385263
220.66037,36.0,34099.45220165048
220.75153,36.0,34133.126314584166
220.9523,36.0,34207.35365458671
221.07991,28.0,37279.85175308422
221.44205,28.0,37419.82559364382
