PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
212.13783,47.0,27270.503769565606
211.93318,38.0,30252.751718094805
211.81073,38.0,30210.16985634342
211.84418,38.0,30221.79796237126
211.85023,38.0,30223.904204461956
211.73146,41.0,29149.23162880563
211.41531,41.0,29041.379150525667
211.43365,41.0,29047.630683425814
211.37819,41.0,29028.727316536242
211.33707,36.0,30743.086941563524
211.21895,36.0,30701.679865876446
211.21574,36.0,30700.556951975683
211.25133,36.0,30713.027795646572
211.26062,28.0,33584.45488573611
211.08586,28.0,33520.43257356272
