PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
49.055473,18.0,964.4424236035557
49.258812,18.0,977.1133245681995
49.314594,18.0,980.6038142194884
49.30118,18.0,979.7639816517622
49.239902,18.0,975.9315079806984
49.306877,14.0,1246.5755731128738
49.45532,14.0,1257.0796064566966
49.40029,14.0,1253.1806342402124
49.449585,14.0,1256.6730739027262
49.48682,13.0,1331.2880498357263
49.46273,13.0,1329.5307087856927
49.455406,13.0,1328.9966404024162
49.418995,13.0,1326.3431897858536
49.401993,12.0,1398.9090652505402
49.375423,12.0,1396.9222766761814
